Date,Close
1/2/2019 16:00:00,1054.68
1/3/2019 16:00:00,1025.47
1/4/2019 16:00:00,1078.07
1/7/2019 16:00:00,1075.92
1/8/2019 16:00:00,1085.37
1/9/2019 16:00:00,1081.65
1/10/2019 16:00:00,1078.83
1/11/2019 16:00:00,1064.47
1/14/2019 16:00:00,1051.51
1/15/2019 16:00:00,1086.51
1/16/2019 16:00:00,1089.51
1/17/2019 16:00:00,1099.12
1/18/2019 16:00:00,1107.3
1/22/2019 16:00:00,1078.63
1/23/2019 16:00:00,1084.41
1/24/2019 16:00:00,1084
1/25/2019 16:00:00,1101.51
1/28/2019 16:00:00,1079.86
1/29/2019 16:00:00,1070.06
1/30/2019 16:00:00,1097.99
1/31/2019 16:00:00,1125.89
2/1/2019 16:00:00,1118.62
2/4/2019 16:00:00,1141.42
2/5/2019 16:00:00,1151.87
2/6/2019 16:00:00,1122.89
2/7/2019 16:00:00,1105.91
2/8/2019 16:00:00,1102.38
2/11/2019 16:00:00,1102.12
2/12/2019 16:00:00,1127.58
2/13/2019 16:00:00,1128.63
2/14/2019 16:00:00,1129.2
2/15/2019 16:00:00,1119.63
2/19/2019 16:00:00,1126.51
2/20/2019 16:00:00,1120.59
2/21/2019 16:00:00,1104.21
2/22/2019 16:00:00,1116.56
2/25/2019 16:00:00,1117.33
2/26/2019 16:00:00,1122.01
2/27/2019 16:00:00,1122.89
2/28/2019 16:00:00,1126.55
3/1/2019 16:00:00,1148.52
3/4/2019 16:00:00,1153.42
3/5/2019 16:00:00,1169.19
3/6/2019 16:00:00,1164.94
3/7/2019 16:00:00,1150.85
3/8/2019 16:00:00,1149.97
3/11/2019 16:00:00,1179.26
3/12/2019 16:00:00,1197.25
3/13/2019 16:00:00,1199.06
3/14/2019 16:00:00,1192.53
3/15/2019 16:00:00,1190.3
3/18/2019 16:00:00,1188.55
3/19/2019 16:00:00,1202.46
3/20/2019 16:00:00,1226.43
3/21/2019 16:00:00,1236.13
3/22/2019 16:00:00,1207.65
3/25/2019 16:00:00,1197.38
3/26/2019 16:00:00,1189.84
3/27/2019 16:00:00,1178.01
3/28/2019 16:00:00,1172.27
3/29/2019 16:00:00,1176.89
4/1/2019 16:00:00,1198.98
4/2/2019 16:00:00,1205.54
4/3/2019 16:00:00,1210.81
4/4/2019 16:00:00,1219.45
4/5/2019 16:00:00,1211.45
4/8/2019 16:00:00,1208.28
4/9/2019 16:00:00,1202.69
4/10/2019 16:00:00,1206.45
4/11/2019 16:00:00,1209.59
4/12/2019 16:00:00,1222.73
4/15/2019 16:00:00,1226.53
4/16/2019 16:00:00,1231.91
4/17/2019 16:00:00,1240.14
4/18/2019 16:00:00,1241.47
4/22/2019 16:00:00,1253.76
4/23/2019 16:00:00,1270.59
4/24/2019 16:00:00,1260.05
4/25/2019 16:00:00,1267.34
4/26/2019 16:00:00,1277.42
4/29/2019 16:00:00,1296.2
4/30/2019 16:00:00,1198.96
5/1/2019 16:00:00,1173.32
5/2/2019 16:00:00,1166.51
5/3/2019 16:00:00,1189.55
5/6/2019 16:00:00,1193.46
5/7/2019 16:00:00,1178.86
5/8/2019 16:00:00,1170.78
5/9/2019 16:00:00,1167.97
5/10/2019 16:00:00,1167.64
5/13/2019 16:00:00,1136.59
5/14/2019 16:00:00,1124.86
5/15/2019 16:00:00,1170.8
5/16/2019 16:00:00,1184.5
5/17/2019 16:00:00,1168.78
5/20/2019 16:00:00,1144.66
5/21/2019 16:00:00,1154.44
5/22/2019 16:00:00,1155.85
5/23/2019 16:00:00,1145.34
5/24/2019 16:00:00,1138.61
5/28/2019 16:00:00,1139.56
5/29/2019 16:00:00,1119.94
5/30/2019 16:00:00,1121.41
5/31/2019 16:00:00,1106.5
6/3/2019 16:00:00,1038.74
